FROM_,TO,OUT,MAPPING
1.000000000000000,1.000000000000000,100,ValueToValue
2.000000000000000,2.000000000000000,30,ValueToValue
3.000000000000000,3.000000000000000,75,ValueToValue
4.000000000000000,4.000000000000000,100,ValueToValue
5.000000000000000,5.000000000000000,30,ValueToValue
6.000000000000000,6.000000000000000,30,ValueToValue
7.000000000000000,7.000000000000000,50,ValueToValue
8.000000000000000,8.000000000000000,30,ValueToValue
9.000000000000000,9.000000000000000,50,ValueToValue
10.000000000000000,10.000000000000000,0,ValueToValue
11.000000000000000,11.000000000000000,50,ValueToValue
12.000000000000000,12.000000000000000,0,ValueToValue
13.000000000000000,13.000000000000000,0,ValueToValue
14.000000000000000,14.000000000000000,0,ValueToValue
15.000000000000000,15.000000000000000,0,ValueToValue
